-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  45.0   Longitude -10.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,103.05,102.08,101.02,101.81,101.13,102.07,102.25,102.13,101.49,101.72,102.51,100.62,101.82
PS,1982,101.79,101.57,102.24,101.9,102.02,101.57,101.89,102.11,101.7,101.51,101.6,102.11,101.84
PS,1983,103.11,101.95,102.3,100.96,101.12,102.1,101.76,102.0,101.74,102.26,101.3,101.5,101.84
PS,1984,102.05,102.49,101.49,101.59,101.42,102.0,101.95,102.0,101.84,101.75,100.63,102.21,101.79
PS,1985,101.3,101.35,101.77,101.51,101.58,101.81,101.93,101.93,102.08,102.1,101.49,101.56,101.7
PS,1986,101.98,100.67,101.88,101.52,101.84,101.88,102.27,101.8,102.03,102.12,102.12,102.43,101.89
PS,1987,101.77,101.55,101.92,101.37,102.13,101.97,102.05,101.8,101.7,100.92,102.05,101.32,101.71
PS,1988,101.16,101.95,102.26,101.4,101.33,101.74,101.86,101.8,102.25,101.2,101.79,102.94,101.81
PS,1989,102.89,102.18,101.81,101.28,101.82,102.0,102.18,101.82,101.97,101.93,100.83,100.54,101.77
PS,1990,102.04,101.7,102.89,102.06,101.87,101.82,101.98,102.17,101.85,101.07,101.78,102.15,101.95
PS,1991,102.23,101.62,101.07,101.96,102.55,101.96,101.82,101.95,101.69,101.74,101.79,102.72,101.93
PS,1992,102.75,102.54,102.43,101.86,101.72,101.83,102.05,101.65,101.9,101.66,101.97,101.77,102.01
PS,1993,102.45,102.87,101.98,101.28,101.15,101.99,102.33,102.09,101.27,101.21,101.63,102.13,101.86
PS,1994,102.02,101.1,102.45,101.96,101.02,102.23,101.95,101.68,101.76,101.45,101.68,102.22,101.8
PS,1995,102.25,101.91,102.07,102.0,101.69,102.07,101.67,102.0,101.77,101.66,101.26,101.02,101.78
PS,1996,100.08,101.89,101.28,101.61,101.47,102.24,102.16,101.85,101.64,101.97,101.88,100.88,101.57
PS,1997,101.51,102.42,102.57,101.97,101.27,101.25,102.21,101.61,102.04,101.45,100.5,101.29,101.67
PS,1998,101.57,102.5,102.42,100.92,101.78,101.94,101.96,102.16,101.25,102.11,102.21,102.09,101.91
PS,1999,101.85,102.81,101.5,101.68,101.54,102.15,101.83,101.35,101.11,101.37,102.44,102.1,101.8
PS,2000,102.67,102.76,102.41,100.61,101.68,102.07,101.7,101.92,101.53,101.77,100.91,100.41,101.7
PS,2001,101.02,102.07,100.47,101.96,101.84,101.99,101.81,101.79,101.84,101.24,102.8,102.28,101.75
PS,2002,102.04,102.15,101.55,101.65,101.56,101.99,102.02,101.97,101.55,101.25,100.91,101.24,101.65
PS,2003,102.12,101.71,101.86,101.24,102.07,101.6,101.88,101.74,101.97,101.41,101.37,101.89,101.74
PS,2004,101.77,102.14,102.13,101.65,101.8,102.07,102.0,101.41,102.15,100.86,102.52,102.4,101.9
PS,2005,102.86,102.56,101.59,101.64,101.76,101.89,101.91,102.12,102.04,101.32,101.84,102.13,101.97
PS,2006,102.21,101.71,101.07,101.77,101.77,101.95,101.97,101.92,101.3,100.95,101.54,102.37,101.71
PS,2007,102.56,101.27,102.22,101.94,101.72,101.39,101.77,101.97,102.18,102.2,102.25,102.37,101.99
PS,2008,101.87,102.1,101.77,101.24,101.13,102.06,101.73,101.66,101.79,102.01,102.1,101.95,101.78
PS,2009,101.22,101.65,102.04,101.54,101.98,101.63,101.79,101.93,102.18,101.52,101.22,100.76,101.62
PS,2010,101.51,100.43,101.5,101.75,101.83,101.89,102.02,101.93,101.76,101.23,101.14,101.18,101.52
PS,2011,101.8,101.81,102.0,101.76,102.07,102.02,101.87,101.66,101.76,101.9,101.37,102.51,101.88
PS,2012,102.79,103.12,102.59,101.1,101.5,101.53,101.91,101.66,101.78,101.13,101.39,101.55,101.84
PS,2013,101.78,102.05,100.33,101.65,101.96,102.12,101.89,102.09,101.79,101.32,102.39,101.87,101.77
PS,2014,100.93,100.72,101.82,101.44,101.87,101.78,101.91,101.74,101.44,101.41,100.69,102.74,101.55
PS,2015,102.39,102.21,102.53,101.91,102.03,102.09,101.87,101.66,101.77,101.41,102.36,102.0,102.02
PS,2016,101.55,101.89,101.88,101.34,101.46,101.9,102.18,102.17,102.0,101.69,101.69,102.49,101.86
PS,2017,102.34,101.57,101.81,102.19,101.48,101.79,101.88,102.01,101.99,102.17,102.2,102.32,101.98
PS,2018,102.1,101.86,100.36,101.07,101.89,101.83,101.84,102.08,102.16,101.71,100.94,102.12,101.66
PS,2019,102.42,102.14,102.34,101.17,101.89,101.62,101.78,101.79,102.06,101.44,100.87,101.54,101.75
PS,2020,102.25,102.19,101.9,101.36,101.82,101.7,102.13,101.62,101.9,101.51,101.91,101.28,101.79
PS,2021,101.69,101.17,102.44,101.75,101.67,102.03,101.81,101.89,101.79,101.69,102.24,101.62,101.82
TS,1981,12.76,12.29,12.48,13.05,13.65,15.79,17.86,19.23,18.76,16.83,15.33,13.92,15.18
TS,1982,12.87,12.55,12.48,12.49,13.76,15.59,17.23,18.55,18.64,16.25,14.94,13.31,14.9
TS,1983,12.62,11.91,12.24,12.25,12.65,15.24,17.44,18.38,18.1,17.32,15.54,13.97,14.83
TS,1984,12.86,12.44,11.98,12.47,13.44,14.4,17.56,19.23,18.98,16.12,14.87,13.13,14.8
TS,1985,11.99,12.08,11.9,12.33,13.37,15.54,18.18,18.25,18.51,17.44,15.32,13.76,14.9
TS,1986,12.59,11.75,11.77,11.53,12.72,14.64,17.36,17.62,17.26,16.26,14.7,13.5,14.33
TS,1987,12.29,11.87,12.01,12.44,13.65,15.55,18.4,19.0,19.01,16.1,14.36,12.98,14.82
TS,1988,12.69,12.01,11.95,12.36,13.57,15.3,17.2,18.42,17.44,16.15,15.14,13.88,14.69
TS,1989,13.14,12.87,12.36,12.44,14.73,16.67,18.77,20.1,18.56,16.61,14.73,13.91,15.43
TS,1990,13.08,12.55,12.52,12.69,15.02,16.58,18.15,19.83,18.95,17.11,14.91,13.02,15.39
TS,1991,12.16,11.86,11.84,11.98,12.84,14.86,17.41,18.51,19.2,15.92,14.26,13.3,14.53
TS,1992,12.43,11.85,12.32,12.19,13.8,15.25,18.11,19.26,17.5,15.44,14.25,13.28,14.65
TS,1993,13.05,12.85,12.4,12.64,13.51,15.44,17.33,18.98,17.21,14.99,13.8,12.87,14.6
TS,1994,12.02,11.69,11.81,11.65,13.09,14.76,17.69,18.26,17.13,15.73,14.9,14.15,14.43
TS,1995,13.07,12.44,12.13,12.7,14.49,15.55,17.79,19.39,18.16,17.43,16.05,13.82,15.27
TS,1996,13.01,12.26,12.15,13.1,13.51,16.07,17.98,19.07,17.87,16.63,15.01,13.44,15.01
TS,1997,12.45,12.55,12.79,13.44,14.41,16.15,18.01,19.79,18.58,17.98,15.84,14.32,15.55
TS,1998,13.15,12.73,12.78,12.85,14.12,16.37,17.89,19.1,18.71,17.18,15.72,13.94,15.4
TS,1999,13.06,12.58,12.41,12.53,13.74,15.64,18.25,19.32,18.26,16.61,14.91,13.55,15.09
TS,2000,12.58,12.33,12.51,12.21,13.48,15.4,17.31,19.1,19.08,16.76,14.54,13.15,14.88
TS,2001,12.58,12.37,12.2,12.47,13.59,15.86,17.97,19.05,18.28,16.7,15.15,14.01,15.04
TS,2002,13.04,12.58,12.5,12.9,13.73,15.35,16.84,18.59,18.55,16.84,15.23,13.8,15.01
TS,2003,12.98,12.39,12.62,12.98,14.36,16.48,18.26,19.92,19.21,17.79,15.32,13.76,15.52
TS,2004,13.24,12.96,12.4,12.69,13.71,16.5,18.84,19.69,18.86,16.65,14.6,13.55,15.32
TS,2005,12.93,12.55,12.16,12.65,13.85,16.73,18.51,19.62,19.07,17.49,15.28,13.71,15.4
TS,2006,12.9,12.34,11.78,12.63,14.37,15.91,19.03,19.54,19.83,17.71,15.8,13.91,15.5
TS,2007,13.31,12.68,12.47,13.12,14.26,15.79,17.7,18.87,18.35,17.46,15.69,14.49,15.37
TS,2008,13.43,13.08,13.23,13.12,14.81,16.87,18.05,18.73,17.98,16.89,14.86,13.3,15.37
TS,2009,12.65,12.08,12.12,12.74,13.86,16.46,18.15,19.04,18.44,17.47,15.51,13.65,15.2
TS,2010,12.72,12.26,12.0,12.76,14.08,16.65,18.92,19.58,19.38,17.64,15.26,13.23,15.39
TS,2011,12.51,12.31,12.13,13.48,15.04,16.26,17.31,18.62,18.58,18.09,16.01,14.3,15.4
TS,2012,13.37,12.51,12.67,12.81,13.76,15.88,17.8,19.01,18.84,17.47,15.26,13.61,15.26
TS,2013,12.8,12.3,12.15,12.42,13.41,15.05,18.19,19.58,19.19,18.26,15.8,14.13,15.3
TS,2014,12.89,12.05,11.83,12.46,14.06,16.32,18.55,19.51,19.83,18.42,15.8,13.83,15.48
TS,2015,12.82,12.13,11.98,12.9,14.38,16.53,19.07,18.9,17.95,16.62,15.48,14.37,15.28
TS,2016,13.15,12.55,12.07,12.47,14.26,16.83,19.24,20.15,19.55,17.78,15.66,14.24,15.68
TS,2017,13.47,12.73,12.51,12.9,14.15,16.95,18.19,19.34,19.06,18.12,16.3,14.44,15.69
TS,2018,13.2,12.58,12.12,12.42,13.82,16.01,19.53,19.83,19.64,17.31,14.76,13.69,15.43
TS,2019,12.98,12.51,12.48,12.86,13.87,16.07,18.51,18.95,18.69,17.57,15.06,13.38,15.26
TS,2020,12.67,12.54,12.37,13.05,14.47,16.58,18.15,19.9,19.51,17.43,15.66,13.86,15.52
TS,2021,12.49,12.34,12.43,12.76,13.93,16.37,17.74,19.11,19.7,17.98,15.7,14.01,15.4
T2M,1981,12.21,11.39,12.63,12.49,13.4,15.62,17.62,18.93,18.6,16.19,15.23,13.36,14.83
